"JOINED","FIRST NAME","LAST NAME","EMAIL","COHORT","GROUP(S)","MENTEE STATUS","ADVISOR/MENTOR STATUS","WEBINAR STATUS","LAST LOGIN","MENTEE PROFILE CREATED","ADVISOR/MENTOR PROFILE CREATED","EXTERNAL ID","FIRSTHAND ID","GRADUATION YEAR","DEGREES","SCHOOLS","CONSULTS GIVEN","CONSULTS RECEIVED","TOTAL CONSULTS","CURRENT EMPLOYER","CURRENT LOCATION","CURRENT INDUSTRY","CURRENT JOB FUNCTION","LIST(S)","AVERAGE ADVISOR/MENTOR RATING","% POSITIVE ADVISOR/MENTOR REVIEWS","IS RESTRICTED TO GROUPS","OUT-OF-OFFICE SINCE","OUT-OF-OFFICE UNTIL","NOTES","PROGRAMS","AFFILIATION","PHONE NUMBER","BOOTH(S)","BOOTH(S) MANAGED","FAIRS","FIELD OF STUDY","GENDER","RACE / ETHNICITY","RESUME"
"Nov 06, 2023","Nakia","Hickle","chet61@gmail.com","unknown","","Added","N/A - No Access","Live","","","","","10331309","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Eloy","Koss","kellie.prosacco87@hotmail.com","unknown","","Added","N/A - No Access","Live","","","","","10331308","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Jesse","Langworth","reva.hauck@yahoo.com","unknown","","N/A - No Access","Added","Live","","","","","10331307","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Giles","Kris","erich70@hotmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331306","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Dion","Will","dexter_beahan@yahoo.com","unknown","","N/A - No Access","Added","Live","","","","","10331304","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Cleo","Weissnat","gail.schaefer@gmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331303","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Nora","Hickle","wilfredo_davis64@yahoo.com","unknown","","N/A - No Access","Added","Live","","","","","10331302","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Rowland","Gleason","brad_little99@hotmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331301","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Rashawn","Kautzer","laurine17@hotmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331299","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Lori","Bruen","estefania.stanton@hotmail.com","unknown","","Added","N/A - No Access","Live","","","","","10331296","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Donavon","Carter","bryon_buckridge72@yahoo.com","unknown","","N/A - No Access","Added","Live","","","","","10331295","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Carolina","Steuber","gregory74@yahoo.com","unknown","","Added","N/A - No Access","Live","","","","","10331294","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Henderson","Ebert","athena.hilll@gmail.com","unknown","","Added","Added","Live","","","","","10331293","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Esther","Bartoletti","maxine68@yahoo.com","unknown","","N/A - No Access","Added","Live","","","","","10331292","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Alvina","Abbott","mollie_quigley50@hotmail.com","unknown","","Added","N/A - No Access","Live","","","","","10331291","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Edward","Senger","bernie89@yahoo.com","unknown","","N/A - No Access","N/A - No Access","N/A - No Access","","","","","10331290","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Malika","Frami","grover.swaniawski21@gmail.com","unknown","","N/A - No Access","N/A - No Access","N/A - No Access","","","","","10331289","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Cordell","Gerlach","jarod_halvorson@yahoo.com","unknown","","N/A - No Access","Added","Live","","","","","10331288","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Tyra","Nicolas","adalberto_schmitt@hotmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331287","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Cleta","Graham","yoshiko.bechtelar15@gmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331286","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Owen","Daniel","elody_schimmel@gmail.com","unknown","","Added","N/A - No Access","Live","","","","","10331283","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Erika","Torphy","sonny.hagenes17@hotmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331282","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Vivian","Kilback","markus_ebert34@yahoo.com","unknown","","Added","N/A - No Access","Live","","","","","10331279","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Mercedes","Keeling","darwin.quigley@hotmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331278","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Brody","Cole","tressie37@hotmail.com","unknown","","Added","N/A - No Access","Live","","","","","10331277","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Randi","Von","herman_jaskolski@yahoo.com","unknown","","Added","Added","Live","","","","","10331276","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
"Nov 06, 2023","Wilford","Price","kareem_ruecker@gmail.com","unknown","","N/A - No Access","Added","Live","","","","","10331275","","","","0","0","0","","","","","","","","No","","","","","","","","","","","","","",""
